Nombre,Referencia interna,Precio de venta,Tipo,Peso Kg,Tipo pallet,Medida pallet,TARIC (HS),Nombre EN-US
Valla alu madera puerta,A00054,1,consu,12.0,Vallas,2.00x1.25,7610.90.00.80,Valla alu madera puerta
Valla alu madera recta,A00050,1,consu,12.0,Vallas,2.00x1.25,7610.90.00.80,Valla alu madera recta
Valla alu puerta,A00045,750,consu,20.0,Vallas,2.00x1.25,7610.90.00.80,Gate aluminium barrier
Valla alu puerta doble,A00430,"1.350,00",consu,0.0,,,,Double gate aluminium barrier
Valla alu recta,A00042,600,consu,20.0,Vallas,2.00x1.25,7610.90.00.80,Straight aluminium barrier
Valla aluminio recta antigua,A00031,1,consu,17.6,Vallas,2.00x1.25,,Barrier alu old straight
Valla cercado madera 2x1,A00487,1,consu,8.0,Vallas,2.00x1.25,,Valla cercado madera 2x1
Valla de hierro curva inversa,A00357,1,consu,38.0,,,,Valla de hierro curva inversa
Valla fibra curva,A00028,850,consu,20.0,Vallas,2.00x1.25,7019.90.00.20,Curved Fibre Barrier
Valla fibra especial,A00027,600,consu,17.5,Vallas,2.00x1.25,7019.90.00.20,Special Fibre Bar
Valla fibra hockey curva,A00465,950,consu,20.0,,,7019.90.00.20,Curved Fibre Barrier
Valla fibra hockey especial,A00464,700,consu,0.0,,,,Special Fibre Barrier
Valla fibra hockey puerta,A00466,"1.100,00",consu,0.0,,,,Gate Fibre Barrier
Valla fibra hockey recta,A00463,700,consu,20.0,,,7019.90.00.20,Straight Fibre Barrier
Valla fibra puerta,A00030,"1.000,00",consu,17.6,Vallas,2.00x1.25,7019.31.00.90,Gate Fibre Barrier
Valla fibra recta,A00026,600,consu,20.0,Vallas,2.00x1.25,7019.90.00.20,Straight Fibre Barrier
Valla fibra transparente especial,A00300,1,consu,17.5,,,7019.31.00.90,Valla fibra transparente especial
Valla fibra transparente recta,A00299,1,consu,17.5,,,7019.31.00.90,Valla fibra transparente recta
Valla hierro curva,A00416,1,consu,0.0,,,,Valla hierro curva
Valla hierro especial,A00417,1,consu,0.0,,,,Valla hierro especial
Valla hierro puerta,A00418,1,consu,0.0,,,,Valla hierro puerta
Valla hierro recta,A00415,1,consu,0.0,,,,Valla hierro recta
Valla lite aluminio curva antigua,A00015,1,consu,10.0,,,,Barrier lite alu old curved
Valla lite aluminio especial antigua,A00014,1,consu,10.0,,,,Barrier lite alu old special
Valla lite aluminio puerta antigua,A00016,1,consu,10.0,,,,Barrier lite alu old gate
Valla lite aluminio recta antigua,A00013,1,consu,10.0,,,,Barrier lite alu old straight
Valla smartice puerta,A00501,900,consu,0.0,,,,Valla smartice puerta
Vallas para camino,A00471,1,consu,0.0,,,,Vallas para camino
Vinilo Xtraice en vallas,A00433,75,service,0.0,,,,XTRAICE vinyl on barrier
Vinilo personalizado,,75,consu,,,,,
Vinilo personalizado,A00434,1,consu,0.0,,,,Customized vinyl
Visita técnica,A00489,1,service,0.0,,,,Visita técnica
XLR cable 10,A00210,0,consu,0.5,Accesorios,1.20x0.80,85.44.49,XLR cable 10
XLR cable 15,A00356,1,consu,38.0,Accesorios,1.20x0.80,,XLR cable 15
XLR cable 20,A00211,0,consu,1.0,Accesorios,1.20x0.80,85.44.49,XLR cable 20
XLR cable 25,A00212,0,consu,1.25,Accesorios,1.20x0.80,85.44.49,XLR cable 25
XLR cable 30,A00213,0,consu,1.5,Accesorios,1.20x0.80,85.44.49,XLR cable 30
XLR cable 35,A00214,0,consu,1.75,Accesorios,1.20x0.80,85.44.49,XLR cable 35
XLR cable 40,A00306,0,consu,2.0,Accesorios,1.20x0.80,85.44.49,XLR cable 40
XLR cable 45,A00215,0,consu,2.25,Accesorios,1.20x0.80,85.44.49,XLR cable 45
XLR cable 50,A00216,0,consu,2.5,Accesorios,1.20x0.80,85.44.49,XLR cable 45
XLR cable 75,A00307,0,consu,3.75,Accesorios,1.20x0.80,85.44.49,XLR cable 75
XXXXKit de limpieza Home,A00491,1,consu,0.0,,,,XXXXKit de limpieza Home
Xtraice Kart L,A00413,0,consu,0.0,,,,Kart L
Xtraice Kart M,A00412,0,consu,0.0,,,,Kart m
Xtraice Kart S,A00411,0,consu,0.0,,,,Kart s
Xtraice Kart XL,A00414,0,consu,0.0,,,,Kart XL
Xtraice Pro Sport,A00484,1,consu,0.0,,,,Xtraice Pro Sport
Xtraice panel 20mm blue,A00287,1,consu,36.5,Paneles,2.00x1.00,3901.20.10.00,Xtraice panel 20mm blue
Xtraice panel 20mm red,A00207,1,consu,0.0,,,3901.20.10.00,Xtraice panel 20mm red
Xtraice panel 8 mm black,A00192,1,consu,8,,,3901.20.10.00,Xtraice panel 8 mm black
Xtraice panel 8 mm blue,A00199,1,consu,8,,,3901.20.10.00,Xtraice panel 8 mm blue
Xtraice panel 8 mm green,A00205,1,consu,8,,,3901.20.10.00,Xtraice panel 8 mm green
Xtraice panel 8 mm light blue,A00183,1,consu,8,,,3901.20.10.00,Xtraice panel 8 mm light blue
Xtraice panel 8 mm orange,A00204,1,consu,8,,,3901.20.10.00,Xtraice panel 8 mm orange
Xtraice panel 8 mm red,A00200,1,consu,8,,,3901.20.10.00,Xtraice panel 8 mm red
Xtraice panel 8 mm yellow,A00206,1,consu,8,,,3901.20.10.00,Xtraice panel 8 mm yellow
Xtraice panel HOME,A00366,1,consu,0.0,,,,Xtraice panel HOME
